Overriding config with config.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out_movies'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'movies'

dataset = 'movies'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_interval = 50
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 500
Overriding: lr_decay_iters = 500
Overriding: dropout = 0.0
tokens per iteration will be: 768
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 7.23M
num decayed parameter tensors: 18, with 7,233,536 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 10.8556, val loss 10.8584
iter 0: loss 10.8379, time 3026.59ms, mfu -100.00%
iter 1: loss 10.8613, time 260.05ms, mfu -100.00%
iter 2: loss 10.8391, time 273.73ms, mfu -100.00%
iter 3: loss 10.8131, time 259.78ms, mfu -100.00%
iter 4: loss 10.7940, time 272.20ms, mfu -100.00%
iter 5: loss 10.7843, time 270.96ms, mfu 0.04%
iter 6: loss 10.7354, time 269.26ms, mfu 0.04%
iter 7: loss 10.6801, time 255.54ms, mfu 0.04%
iter 8: loss 10.6698, time 281.73ms, mfu 0.04%
iter 9: loss 10.5826, time 283.55ms, mfu 0.04%
iter 10: loss 10.5757, time 273.05ms, mfu 0.04%
iter 11: loss 10.5675, time 294.11ms, mfu 0.04%
iter 12: loss 10.5245, time 291.26ms, mfu 0.04%
iter 13: loss 10.4864, time 287.05ms, mfu 0.04%
iter 14: loss 10.4607, time 272.84ms, mfu 0.04%
iter 15: loss 10.4228, time 288.61ms, mfu 0.04%
iter 16: loss 10.4586, time 273.64ms, mfu 0.04%
iter 17: loss 10.3856, time 295.02ms, mfu 0.04%
iter 18: loss 10.3563, time 295.07ms, mfu 0.04%
iter 19: loss 10.3193, time 289.27ms, mfu 0.04%
iter 20: loss 10.2776, time 296.97ms, mfu 0.04%
iter 21: loss 10.2388, time 268.60ms, mfu 0.04%
iter 22: loss 10.2038, time 369.18ms, mfu 0.04%
iter 23: loss 10.1498, time 297.02ms, mfu 0.04%
iter 24: loss 10.1367, time 306.42ms, mfu 0.04%
iter 25: loss 10.1157, time 313.60ms, mfu 0.04%
iter 26: loss 10.0244, time 333.18ms, mfu 0.04%
iter 27: loss 9.9535, time 347.57ms, mfu 0.04%
iter 28: loss 9.9423, time 307.22ms, mfu 0.04%
iter 29: loss 9.8312, time 310.22ms, mfu 0.04%
iter 30: loss 9.8499, time 325.15ms, mfu 0.04%
iter 31: loss 9.7967, time 290.33ms, mfu 0.04%
iter 32: loss 9.7414, time 297.39ms, mfu 0.04%
iter 33: loss 9.5733, time 281.26ms, mfu 0.04%
iter 34: loss 9.5442, time 284.95ms, mfu 0.04%
iter 35: loss 9.5581, time 298.01ms, mfu 0.04%
iter 36: loss 9.4006, time 333.96ms, mfu 0.04%
iter 37: loss 9.3283, time 314.89ms, mfu 0.04%
iter 38: loss 9.3285, time 290.59ms, mfu 0.04%
iter 39: loss 9.2495, time 315.98ms, mfu 0.04%
iter 40: loss 9.2270, time 291.99ms, mfu 0.04%
iter 41: loss 9.0763, time 303.72ms, mfu 0.04%
iter 42: loss 9.0744, time 278.06ms, mfu 0.04%
iter 43: loss 8.8403, time 280.35ms, mfu 0.04%
iter 44: loss 8.7651, time 351.56ms, mfu 0.04%
iter 45: loss 8.7534, time 284.80ms, mfu 0.04%
iter 46: loss 8.7660, time 299.29ms, mfu 0.04%
iter 47: loss 8.6113, time 295.19ms, mfu 0.04%
iter 48: loss 8.4349, time 299.16ms, mfu 0.04%
iter 49: loss 8.4491, time 295.78ms, mfu 0.04%
step 50: train loss 8.3347, val loss 8.3252
saving checkpoint to out_movies
iter 50: loss 8.3231, time 3319.13ms, mfu 0.03%
iter 51: loss 8.2807, time 283.55ms, mfu 0.03%
iter 52: loss 8.1384, time 281.68ms, mfu 0.03%
iter 53: loss 8.0880, time 284.66ms, mfu 0.03%
iter 54: loss 7.8487, time 303.70ms, mfu 0.03%
iter 55: loss 7.8735, time 279.97ms, mfu 0.03%
iter 56: loss 7.8393, time 261.47ms, mfu 0.04%
iter 57: loss 7.6653, time 275.75ms, mfu 0.04%
iter 58: loss 7.7790, time 273.52ms, mfu 0.04%
iter 59: loss 7.6557, time 267.50ms, mfu 0.04%
iter 60: loss 7.6837, time 259.47ms, mfu 0.04%
iter 61: loss 7.5683, time 265.48ms, mfu 0.04%
iter 62: loss 7.6265, time 235.49ms, mfu 0.04%
iter 63: loss 7.2392, time 283.09ms, mfu 0.04%
iter 64: loss 7.1660, time 255.65ms, mfu 0.04%
iter 65: loss 7.3307, time 277.44ms, mfu 0.04%
iter 66: loss 7.0147, time 252.69ms, mfu 0.04%
iter 67: loss 6.9892, time 275.72ms, mfu 0.04%
iter 68: loss 6.7923, time 254.65ms, mfu 0.04%
iter 69: loss 6.9766, time 264.38ms, mfu 0.04%
iter 70: loss 6.7817, time 271.48ms, mfu 0.04%
iter 71: loss 6.9829, time 277.04ms, mfu 0.04%
iter 72: loss 6.7449, time 270.71ms, mfu 0.04%
iter 73: loss 6.7141, time 280.06ms, mfu 0.04%
iter 74: loss 6.7283, time 265.96ms, mfu 0.04%
iter 75: loss 6.4400, time 278.16ms, mfu 0.04%
iter 76: loss 6.5742, time 268.92ms, mfu 0.04%
iter 77: loss 6.8495, time 286.00ms, mfu 0.04%
iter 78: loss 6.1419, time 267.39ms, mfu 0.04%
iter 79: loss 6.3763, time 276.88ms, mfu 0.04%
iter 80: loss 6.4318, time 270.88ms, mfu 0.04%
iter 81: loss 6.4387, time 272.38ms, mfu 0.04%
iter 82: loss 6.1588, time 273.72ms, mfu 0.04%
iter 83: loss 6.2952, time 275.41ms, mfu 0.04%
iter 84: loss 6.2304, time 276.76ms, mfu 0.04%
iter 85: loss 6.3809, time 270.70ms, mfu 0.04%
iter 86: loss 6.3276, time 269.28ms, mfu 0.04%
iter 87: loss 6.3972, time 269.26ms, mfu 0.04%
iter 88: loss 6.6005, time 260.61ms, mfu 0.04%
iter 89: loss 6.4029, time 255.16ms, mfu 0.04%
iter 90: loss 6.1905, time 265.62ms, mfu 0.04%
iter 91: loss 6.2219, time 257.51ms, mfu 0.04%
iter 92: loss 6.2858, time 259.39ms, mfu 0.04%
iter 93: loss 6.0903, time 269.92ms, mfu 0.04%
iter 94: loss 6.5349, time 257.27ms, mfu 0.04%
iter 95: loss 6.1420, time 292.38ms, mfu 0.04%
iter 96: loss 6.5052, time 275.55ms, mfu 0.04%
iter 97: loss 6.1382, time 280.40ms, mfu 0.04%
iter 98: loss 6.2254, time 324.47ms, mfu 0.04%
iter 99: loss 6.3402, time 304.28ms, mfu 0.04%
step 100: train loss 6.1623, val loss 6.1314
saving checkpoint to out_movies
iter 100: loss 6.1721, time 3135.88ms, mfu 0.04%
iter 101: loss 5.7323, time 270.58ms, mfu 0.04%
iter 102: loss 5.9907, time 284.80ms, mfu 0.04%
iter 103: loss 6.1549, time 247.91ms, mfu 0.04%
iter 104: loss 6.3124, time 312.32ms, mfu 0.04%
iter 105: loss 6.0866, time 283.04ms, mfu 0.04%
iter 106: loss 6.2909, time 286.25ms, mfu 0.04%
iter 107: loss 5.8069, time 274.75ms, mfu 0.04%
iter 108: loss 6.5017, time 259.65ms, mfu 0.04%
iter 109: loss 6.1413, time 280.82ms, mfu 0.04%
iter 110: loss 6.1604, time 276.87ms, mfu 0.04%
iter 111: loss 5.6750, time 265.55ms, mfu 0.04%
iter 112: loss 6.3502, time 278.85ms, mfu 0.04%
iter 113: loss 6.2236, time 260.84ms, mfu 0.04%
iter 114: loss 6.0050, time 274.02ms, mfu 0.04%
iter 115: loss 5.8209, time 291.78ms, mfu 0.04%
iter 116: loss 6.4451, time 284.75ms, mfu 0.04%
iter 117: loss 5.9889, time 275.13ms, mfu 0.04%
iter 118: loss 5.8272, time 296.93ms, mfu 0.04%
iter 119: loss 6.0747, time 255.17ms, mfu 0.04%
iter 120: loss 5.9143, time 259.23ms, mfu 0.04%
